iter	Logloss
0	0.5531000937
1	0.4449742787
2	0.363031409
3	0.2941252888
4	0.2462078595
5	0.2050413175
6	0.1776960007
7	0.1562214891
8	0.1411455592
9	0.1231157038
10	0.1101217424
11	0.1020581102
12	0.09057356074
13	0.08211268196
14	0.07494667598
15	0.06890620181
16	0.06488189124
17	0.06110319912
18	0.05797185898
19	0.05491488894
20	0.05112504601
21	0.04921026517
22	0.04536960788
23	0.04377735181
24	0.0418922453
25	0.04032643039
26	0.03854946481
27	0.03643636417
28	0.03573334916
29	0.03302972335
30	0.03175007024
31	0.03074215695
32	0.02957756717
33	0.02868939665
34	0.02763821164
35	0.02680050628
36	0.02646141339
37	0.02574680156
38	0.02519876365
39	0.0244233282
40	0.02313066353
41	0.02227535535
42	0.02140554629
43	0.02076138733
44	0.02010182044
45	0.01939176043
46	0.01882955293
47	0.0184128747
48	0.01781829676
49	0.01743690304
50	0.01713266158
51	0.01700349248
52	0.01625880335
53	0.01571939153
54	0.0152277423
55	0.01490901861
56	0.01466217901
57	0.01441008346
58	0.01402496252
59	0.01354677659
60	0.01349420476
61	0.013197118
62	0.01284670435
63	0.01268254187
64	0.01243939866
65	0.01221391491
66	0.01207476092
67	0.0118476631
68	0.01158878355
69	0.01150384487
70	0.01126989852
71	0.01113312585
72	0.01089762207
73	0.01079488769
74	0.01056689929
75	0.01038731668
76	0.01008271239
77	0.009905754175
78	0.009825735881
79	0.009786073785
80	0.009583273866
81	0.009280533181
82	0.009092791995
83	0.009068919304
84	0.008944877108
85	0.008873622579
86	0.008685763079
87	0.008543079061
88	0.008456741419
89	0.008360611765
90	0.008297000971
91	0.00824623323
92	0.008119282687
93	0.008005479942
94	0.007956603057
95	0.00780224836
96	0.007653997177
97	0.00756640255
98	0.007389834411
99	0.00736237863
100	0.007264248411
101	0.007138083035
102	0.007041820727
103	0.006976460335
104	0.006790326054
105	0.00667102785
106	0.006609756068
107	0.006534447347
108	0.006416676457
109	0.006267732606
110	0.006134895095
111	0.006033630658
112	0.00592298687
113	0.005781077622
114	0.005720611802
115	0.005600719882
116	0.005492787612
117	0.005386835113
118	0.005323783258
119	0.005323657774
120	0.005323682513
121	0.005276583908
122	0.005276566699
123	0.00527666852
124	0.005276626214
125	0.005265372857
126	0.005265354214
127	0.005265354214
128	0.005239799327
129	0.00522825449
130	0.00522822796
131	0.005204569307
132	0.00512025661
133	0.005077352022
134	0.005040340137
135	0.00496515439
136	0.004897195056
137	0.004850039088
138	0.004752033994
139	0.004691827387
140	0.004636583113
141	0.004555652375
142	0.004523644411
143	0.004472213759
144	0.004424977123
145	0.004388241302
146	0.004356887287
147	0.004324896533
148	0.004255730048
149	0.00422559394
150	0.004200087813
151	0.004179185136
152	0.004120022193
153	0.00409731363
154	0.004065291326
155	0.004065371635
156	0.004041714417
157	0.004017725206
158	0.003994861043
159	0.003931795565
160	0.003887475523
161	0.003860477218
162	0.003839406035
163	0.00379878166
164	0.003781771839
165	0.003725918791
166	0.00370584072
167	0.003686361026
168	0.003675488063
169	0.003656152854
170	0.003621643468
171	0.003543653703
172	0.003543673781
173	0.003533051426
174	0.003489755688
175	0.003476113126
176	0.003476082651
177	0.003476107031
178	0.00347598585
179	0.003457636941
180	0.003457623675
181	0.003441604815
182	0.003428279905
183	0.003392974595
184	0.00338673018
185	0.003386711895
186	0.003386653814
187	0.003374218761
188	0.003374255689
189	0.003374154944
190	0.003374059577
191	0.003373987513
192	0.003371851068
193	0.003371832783
194	0.003371845331
195	0.003371742793
196	0.003371827405
197	0.003371561022
198	0.003371200346
199	0.003371159116
